id,difficulty,category,parse_ok,critic_passed,keywords_ok,executes,result_matches_ref,cost_usd,latency_ms
E001,easy,factual,,,,,,0.0,0
E002,easy,factual,,,,,,0.0,0
E003,easy,factual,,,,,,0.0,0
E004,easy,factual,,,,,,0.0,0
E005,easy,analytical,,,,,,0.0,0
E006,easy,analytical,,,,,,0.0,0
E007,easy,factual,,,,,,0.0,0
E008,easy,analytical,,,,,,0.0,0
E009,easy,risk,,,,,,0.0,0
E010,easy,analytical,,,,,,0.0,0
M011,medium,comparative,,,,,,0.0,0
M012,medium,risk,,,,,,0.0,0
M013,medium,analytical,,,,,,0.0,0
M014,medium,attribution,,,,,,0.0,0
M015,medium,analytical,,,,,,0.0,0
M016,medium,risk,,,,,,0.0,0
M017,medium,analytical,,,,,,0.0,0
M018,medium,comparative,,,,,,0.0,0
M019,medium,attribution,,,,,,0.0,0
M020,medium,analytical,,,,,,0.0,0
H021,hard,attribution,,,,,,0.0,0
H022,hard,risk,,,,,,0.0,0
H023,hard,comparative,,,,,,0.0,0
H024,hard,risk,,,,,,0.0,0
H025,hard,attribution,,,,,,0.0,0
H026,hard,analytical,,,,,,0.0,0
H027,hard,risk,,,,,,0.0,0
H028,hard,comparative,,,,,,0.0,0
H029,hard,attribution,,,,,,0.0,0
H030,hard,analytical,,,,,,0.0,0
